epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1321.53,2.05939,3.95224,2.08732,0.19678,0.06991,0.04348,0.02125,1.76634,4.40131,2.45689,0.000357107,0.000357107,0.000357107
2,3895.16,1.86145,2.45878,1.87079,0.3431,0.21211,0.21331,0.09297,1.9188,2.90297,2.68106,0.000718438,0.000718438,0.000718438
3,5252.23,1.83934,2.15016,1.88162,0.16331,0.35793,0.17298,0.05678,2.1609,4.35283,2.84045,0.0010706,0.0010706,0.0010706
4,6608.23,1.81261,2.04061,1.92015,0.23338,0.46291,0.23373,0.08752,2.21041,4.02815,2.64169,0.00106975,0.00106975,0.00106975
5,7043.02,1.80787,2.01116,1.8887,0.23585,0.39398,0.25414,0.10322,1.81223,9.84355,2.55614,0.00105601,0.00105601,0.00105601
6,7482.8,1.7535,1.9142,1.87662,0.26068,0.43584,0.32185,0.12645,2.13109,3.11093,2.5139,0.00104226,0.00104226,0.00104226
7,7963.08,1.72253,1.87874,1.79683,0.38578,0.51294,0.40444,0.17441,2.0377,2.32725,2.44785,0.00102851,0.00102851,0.00102851
8,9677.34,1.72147,1.84257,1.82066,0.44266,0.48202,0.45201,0.17473,2.0491,2.4953,2.51617,0.00101476,0.00101476,0.00101476
9,10680.7,1.69701,1.72612,1.79198,0.37654,0.42341,0.3644,0.14087,2.02036,2.34304,2.41684,0.00100101,0.00100101,0.00100101
10,10945.3,1.6946,1.71169,1.75254,0.49561,0.54528,0.54187,0.23655,1.88444,2.01443,2.33292,0.000987262,0.000987262,0.000987262
11,11301.3,1.66608,1.68908,1.73322,0.42944,0.53334,0.46403,0.20115,1.73079,2.33899,2.2822,0.000973514,0.000973514,0.000973514
12,11889.2,1.69002,1.60005,1.75289,0.42974,0.54079,0.42934,0.19175,1.71736,2.20376,2.21904,0.000959765,0.000959765,0.000959765
13,12187.1,1.64716,1.63786,1.72488,0.52034,0.50752,0.47287,0.21384,1.79724,1.99688,2.36081,0.000946016,0.000946016,0.000946016
14,12484.9,1.66702,1.71627,1.8004,0.61144,0.45055,0.48248,0.21446,1.76777,1.95254,2.25709,0.000932268,0.000932268,0.000932268
15,12782.5,1.71403,1.73539,1.78527,0.42309,0.47646,0.45411,0.18738,1.77661,2.27757,2.27084,0.000918519,0.000918519,0.000918519
16,13080.4,1.62716,1.59463,1.74824,0.55247,0.53651,0.52292,0.2213,1.83088,1.95978,2.41257,0.000904771,0.000904771,0.000904771
17,13359.3,1.65191,1.62345,1.725,0.50272,0.48827,0.4961,0.21698,1.84364,2.01607,2.2807,0.000891022,0.000891022,0.000891022
18,13618,1.5831,1.5363,1.70878,0.4287,0.51094,0.47196,0.1979,1.99483,2.34127,2.40108,0.000877273,0.000877273,0.000877273
19,13878.9,1.62224,1.59837,1.70889,0.5523,0.51548,0.56817,0.2423,1.81591,2.09369,2.21434,0.000863525,0.000863525,0.000863525
20,14134.6,1.58755,1.51034,1.67446,0.56652,0.52013,0.53779,0.2296,1.85217,1.78519,2.26891,0.000849776,0.000849776,0.000849776
21,14388.4,1.6171,1.48349,1.68375,0.5442,0.57293,0.54474,0.25128,1.66756,1.86097,2.11971,0.000836027,0.000836027,0.000836027
22,14642.8,1.55896,1.48039,1.67457,0.53534,0.57978,0.55257,0.26347,1.71752,1.80359,2.16165,0.000822279,0.000822279,0.000822279
23,15022.3,1.55444,1.5028,1.70806,0.62521,0.62306,0.59389,0.27898,1.64287,1.7075,2.15638,0.00080853,0.00080853,0.00080853
24,15493.1,1.57008,1.47763,1.66099,0.63736,0.58347,0.6062,0.27357,1.78796,1.59432,2.35607,0.000794782,0.000794782,0.000794782
25,15968.1,1.55211,1.42706,1.66449,0.56893,0.55242,0.56252,0.27942,1.63576,1.69314,2.16019,0.000781033,0.000781033,0.000781033
26,16446.9,1.55324,1.40855,1.63947,0.63283,0.62596,0.59769,0.26519,1.71574,1.72273,2.25354,0.000767284,0.000767284,0.000767284
27,16924.3,1.52468,1.39137,1.6513,0.62551,0.63053,0.6083,0.28266,1.67984,1.66865,2.1171,0.000753536,0.000753536,0.000753536
28,17352.3,1.54088,1.38602,1.65379,0.67072,0.56223,0.61537,0.29124,1.75593,1.61941,2.20486,0.000739787,0.000739787,0.000739787
29,17701,1.51395,1.32116,1.60875,0.67883,0.62163,0.64596,0.30752,1.6688,1.54713,2.12677,0.000726038,0.000726038,0.000726038
30,18180.4,1.5359,1.33961,1.62582,0.62722,0.62899,0.65975,0.3306,1.65493,1.46369,2.15328,0.00071229,0.00071229,0.00071229
