epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.484,1.67299,3.91118,1.54401,0.206,0.20876,0.1319,0.06267,1.48195,4.06724,1.84608,0.000357107,0.000357107,0.000357107
2,336.675,1.70262,2.31113,1.54969,0.33268,0.45468,0.28827,0.15159,1.55979,2.87675,1.97301,0.000703435,0.000703435,0.000703435
3,493.913,1.70764,1.91695,1.55233,0.29529,0.34547,0.26343,0.11753,1.75302,3.14666,2.09204,0.00102532,0.00102532,0.00102532
4,675.829,1.64544,1.74346,1.53256,0.38914,0.42617,0.37686,0.18789,1.67862,2.37087,2.07046,0.00100101,0.00100101,0.00100101
5,866.041,1.62504,1.69818,1.48851,0.4032,0.47504,0.43161,0.20303,1.59234,2.15538,2.07469,0.000964348,0.000964348,0.000964348
6,1052.49,1.63549,1.67453,1.47138,0.48356,0.5214,0.48032,0.24496,1.51783,1.95346,1.93815,0.000927685,0.000927685,0.000927685
7,1229.8,1.61228,1.43603,1.44333,0.66036,0.44362,0.49067,0.2319,1.52627,1.91601,2.04209,0.000891022,0.000891022,0.000891022
8,1418.42,1.56269,1.44648,1.44429,0.57122,0.51556,0.51886,0.26456,1.57202,1.62105,1.96847,0.000854359,0.000854359,0.000854359
9,1600.21,1.52012,1.36157,1.42666,0.45287,0.4425,0.45954,0.23402,1.52734,2.02025,1.9629,0.000817696,0.000817696,0.000817696
10,1752.95,1.46831,1.32866,1.41586,0.59269,0.46302,0.57433,0.31256,1.51114,1.45341,1.84327,0.000781033,0.000781033,0.000781033
11,1929.33,1.55305,1.34777,1.44238,0.46638,0.45823,0.44363,0.20887,1.79096,1.86415,2.44905,0.00074437,0.00074437,0.00074437
12,2127.71,1.49579,1.29367,1.43232,0.59981,0.54202,0.56325,0.27809,1.50986,1.65234,1.81879,0.000707707,0.000707707,0.000707707
13,2316.21,1.45718,1.23614,1.36748,0.61158,0.61529,0.62404,0.33751,1.48257,1.37455,1.90111,0.000671044,0.000671044,0.000671044
14,2508.58,1.42755,1.20533,1.36212,0.65164,0.57661,0.63067,0.34992,1.4024,1.31656,1.76132,0.000634381,0.000634381,0.000634381
15,2690.83,1.46179,1.22986,1.36484,0.76761,0.55777,0.67264,0.37064,1.37133,1.25846,1.72196,0.000597718,0.000597718,0.000597718
16,2846.95,1.48791,1.19618,1.34568,0.75975,0.66299,0.73834,0.42796,1.2764,1.12027,1.57956,0.000561055,0.000561055,0.000561055
17,3020,1.36096,1.17354,1.3518,0.76514,0.63691,0.72398,0.40485,1.35871,1.20861,1.63776,0.000524392,0.000524392,0.000524392
18,3189.91,1.42011,1.09472,1.33554,0.8227,0.58597,0.69408,0.3944,1.31609,1.15701,1.63483,0.000487729,0.000487729,0.000487729
19,3359,1.3433,1.11106,1.33695,0.70195,0.72557,0.73246,0.41606,1.38238,1.22071,1.6331,0.000451066,0.000451066,0.000451066
20,3476.78,1.39442,1.07949,1.30118,0.73275,0.68813,0.7108,0.41578,1.33362,1.19373,1.65102,0.000414403,0.000414403,0.000414403
21,3580.01,1.35332,1.15799,1.35787,0.71633,0.57082,0.62171,0.34197,1.36096,1.48889,1.71053,0.00037774,0.00037774,0.00037774
22,3687.07,1.35856,1.02392,1.30164,0.76485,0.61848,0.70131,0.42982,1.31069,1.20641,1.61153,0.000341077,0.000341077,0.000341077
23,3815.81,1.32068,1.00506,1.31406,0.76421,0.67509,0.72648,0.43444,1.27612,1.17492,1.58727,0.000304414,0.000304414,0.000304414
24,3922.59,1.26804,0.98573,1.2931,0.75784,0.65461,0.74057,0.44923,1.25622,1.08047,1.57856,0.000267751,0.000267751,0.000267751
25,4028.57,1.26901,0.93803,1.29867,0.81251,0.71296,0.76599,0.45746,1.25062,1.0854,1.55421,0.000231088,0.000231088,0.000231088
26,4134.21,1.22931,0.90627,1.26433,0.78129,0.68223,0.7557,0.45656,1.24656,1.02841,1.57816,0.000194425,0.000194425,0.000194425
27,4239.8,1.20485,0.86731,1.28627,0.80559,0.68059,0.74907,0.44641,1.2663,1.01731,1.57946,0.000157762,0.000157762,0.000157762
28,4345.23,1.24072,0.86798,1.2608,0.76594,0.63885,0.74328,0.44926,1.26538,1.00489,1.58099,0.000121099,0.000121099,0.000121099
29,4451.18,1.22255,0.81355,1.20742,0.72706,0.68292,0.76103,0.46454,1.25747,0.99069,1.57097,8.4436e-05,8.4436e-05,8.4436e-05
30,4556.83,1.22976,0.85354,1.24535,0.80121,0.6765,0.7724,0.47722,1.225,0.96311,1.54737,4.7773e-05,4.7773e-05,4.7773e-05
